,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용)
525,(주)우성,006980,2017.0,0,-2.32
526,(주)우성,006980,2018.0,0,-2.18
527,(주)일신석재,007110,2014.0,0,0.17
528,(주)일신석재,007110,2015.0,0,-5.83
529,(주)일신석재,007110,2016.0,1,-6.6
530,(주)미래아이앤지,007120,2013.0,0,-4.61
531,(주)미래아이앤지,007120,2014.0,0,-8.49
532,(주)미래아이앤지,007120,2015.0,0,-3.16
533,(주)미래아이앤지,007120,2016.0,0,-24.34
534,(주)미래아이앤지,007120,2017.0,0,-24.34
535,(주)미래아이앤지,007120,2018.0,1,-24.34
536,한솔아트원제지(주),007190,2011.0,0,-0.27
537,한솔아트원제지(주),007190,2012.0,0,0.56
538,한솔아트원제지(주),007190,2013.0,0,0.79
539,(주)한국특강,007280,2012.0,0,0.54
540,(주)한국특강,007280,2013.0,0,0.0
541,(주)한국특강,007280,2014.0,0,0.11
542,(주)한국특강,007280,2015.0,0,-1.2
543,(주)한국특강,007280,2016.0,0,-0.76
544,(주)한국특강,007280,2017.0,0,0.87
